type,phenomenon,dataset,underspecified sentence,control sentence,und length in words,control length in words,und word length,control word length,und length in characters,control length in characters,und average concreteness,control average concreteness,und average AoA,control average AoA,und average word frequency,control average word frequency
3,Referential Ambiguity,WSC273,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.","Adam can't leave work here until Mary arrives to replace him. If Mary had left home for work on time, he would be gone by this time.",27,27,3.851851852,3.925925926,130,132,2.700607504,2.700607504,7.46152962,7.46152962,0.057440663,0.057440663
3,Referential Ambiguity,WSC273,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.","Adam can't leave work here until Mary arrives to replace him. If Mary had left home for work on time, she would be here by this time.",27,27,3.851851852,3.962962963,130,133,2.740977875,2.719866763,7.192588988,7.183510803,0.058409498,0.057603189
3,Referential Ambiguity,WSC273,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.","Alice tried frantically to stop her son from barking at the party, leaving us to wonder why he was behaving so strangely.",22,22,4.818181818,4.545454545,127,121,2.625684901,2.622048538,7.127341164,7.085300755,0.110906214,0.111955026
3,Referential Ambiguity,WSC273,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.","Alice tried frantically to stop her son from chatting at the party, leaving us to wonder why she was behaving so strangely.",22,22,4.863636364,4.636363636,128,123,2.575230356,2.545684901,7.127341164,7.074159346,0.110906933,0.110966183
3,Referential Ambiguity,WSC273,"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.","Although they ran at about the same speed, Sue beat John because he had such a bad start.",18,18,4.111111111,4.0,91,89,2.487851933,2.519518599,7.047963193,7.061580471,0.092337116,0.09354658
3,Referential Ambiguity,WSC273,"Although they ran at about the same speed, Sue beat Sally because she had such a good start.","Although they ran at about the same speed, Sue beat John because she had such a good start.",18,18,4.166666667,4.111111111,92,91,2.48562971,2.48562971,7.090185415,7.090185415,0.09298714,0.09298714
3,Referential Ambiguity,WSC273,"Ann asked Mary what time the library closes, because she had forgotten.","Tim asked Mary what time the library closes, because he had forgotten.",12,12,5.0,4.916666667,71,70,2.735944565,2.783444565,7.663327534,7.68375345,0.094342567,0.096156764
3,Referential Ambiguity,WSC273,"Ann asked Mary what time the library closes, but she had forgotten.","Time asked Mary what time the library closes, but she had forgotten.",12,12,4.666666667,4.75,67,68,2.804277899,2.804277899,7.676648784,7.676648784,0.096966833,0.096966833
3,Referential Ambiguity,WSC273,Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,Anna did a lot better than her good friend Tommy on the test because she had studied so hard.,19,19,3.894736842,3.947368421,92,93,2.466778993,2.466778993,6.591904284,6.591904284,0.090647443,0.090647443
3,Referential Ambiguity,WSC273,Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Anna did a lot worse than her good friend Tommy on the test because he had studied so hard.,19,19,3.842105263,3.842105263,91,91,2.45098952,2.48098952,6.906775709,6.919676288,0.09032577,0.091471578
